Fecha de solicitud;Provincia;Prediccion_Numero_Ampliaciones_RF
2025-04-20;GUADALAJARA;1
2025-04-20;PALENCIA;1
2025-04-20;VALENCIA;2
2025-04-20;CASTELLON;2
2025-04-20;AVILA;1
2025-04-20;ALICANTE;3
2025-04-20;BIZKAIA;1
2025-04-20;GIPUZKOA;2
2025-04-20;ASTURIAS;2
2025-04-20;MURCIA;2
2025-04-20;LEON;1
2025-04-27;TOLEDO;5
2025-04-27;CIUDAD REAL;2
2025-04-27;MADRID;5
2025-04-27;CUENCA;2
2025-04-27;VALLADOLID;1
2025-04-27;SALAMANCA;1
2025-04-27;ALBACETE;1
2025-04-27;GUADALAJARA;1
2025-04-27;PALENCIA;1
2025-04-27;VALENCIA;2
2025-04-27;CASTELLON;2
2025-04-27;AVILA;1
2025-04-27;ALICANTE;3
2025-04-27;BIZKAIA;1
2025-04-27;GIPUZKOA;2
2025-04-27;ASTURIAS;2
2025-04-27;MURCIA;2
2025-04-27;LEON;1
2025-05-04;TOLEDO;5
2025-05-04;CIUDAD REAL;2
2025-05-04;MADRID;4
2025-05-04;CUENCA;2
2025-05-04;VALLADOLID;1
2025-05-04;SALAMANCA;1
2025-05-04;ALBACETE;1
2025-05-04;GUADALAJARA;1
2025-05-04;PALENCIA;1
2025-05-04;VALENCIA;2
2025-05-04;CASTELLON;2
2025-05-04;AVILA;1
2025-05-04;ALICANTE;3
2025-05-04;BIZKAIA;1
2025-05-04;GIPUZKOA;2
2025-05-04;ASTURIAS;2
2025-05-04;MURCIA;2
2025-05-04;LEON;1
2025-05-11;TOLEDO;5
2025-05-11;CIUDAD REAL;2
2025-05-11;MADRID;5
2025-05-11;CUENCA;2
2025-05-11;VALLADOLID;1
2025-05-11;SALAMANCA;1
2025-05-11;ALBACETE;1
2025-05-11;GUADALAJARA;1
2025-05-11;PALENCIA;1
2025-05-11;VALENCIA;2
2025-05-11;CASTELLON;2
2025-05-11;AVILA;1
2025-05-11;ALICANTE;3
2025-05-11;BIZKAIA;1
2025-05-11;GIPUZKOA;2
2025-05-11;ASTURIAS;2
2025-05-11;MURCIA;2
2025-05-11;LEON;1
2025-05-18;TOLEDO;4
2025-05-18;CIUDAD REAL;2
2025-05-18;MADRID;4
2025-05-18;CUENCA;2
2025-05-18;VALLADOLID;1
2025-05-18;SALAMANCA;1
2025-05-18;ALBACETE;1
2025-05-18;GUADALAJARA;1
2025-05-18;PALENCIA;1
2025-05-18;VALENCIA;2
2025-05-18;CASTELLON;2
2025-05-18;AVILA;1
2025-05-18;ALICANTE;3
2025-05-18;BIZKAIA;1
2025-05-18;GIPUZKOA;2
2025-05-18;ASTURIAS;2
2025-05-18;MURCIA;2
2025-05-18;LEON;1
2025-05-25;TOLEDO;4
2025-05-25;CIUDAD REAL;2
2025-05-25;MADRID;4
2025-05-25;CUENCA;2
2025-05-25;VALLADOLID;1
2025-05-25;SALAMANCA;1
2025-05-25;ALBACETE;1
2025-05-25;GUADALAJARA;1
2025-05-25;PALENCIA;1
2025-05-25;VALENCIA;2
2025-05-25;CASTELLON;2
2025-05-25;AVILA;1
2025-05-25;ALICANTE;3
2025-05-25;BIZKAIA;1
2025-05-25;GIPUZKOA;2
2025-05-25;ASTURIAS;2
2025-05-25;MURCIA;2
2025-05-25;LEON;1
2025-06-01;TOLEDO;4
2025-06-01;CIUDAD REAL;2
2025-06-01;MADRID;4
2025-06-01;CUENCA;2
2025-06-01;VALLADOLID;1
2025-06-01;SALAMANCA;1
2025-06-01;ALBACETE;1
2025-06-01;GUADALAJARA;1
2025-06-01;PALENCIA;1
2025-06-01;VALENCIA;2
2025-06-01;CASTELLON;2
2025-06-01;AVILA;1
2025-06-01;ALICANTE;3
